iter	Passed	Remaining
401	16772	24949
402	16816	24911
403	16861	24875
404	16907	24840
405	16949	24797
406	16995	24762
407	17038	24723
408	17083	24684
409	17120	24637
410	17157	24588
411	17197	24543
412	17237	24500
413	17281	24460
414	17324	24421
415	17372	24387
416	17415	24348
417	17457	24307
418	17499	24264
419	17539	24221
420	17583	24182
421	17625	24141
422	17664	24095
423	17704	24051
424	17746	24010
425	17788	23968
426	17830	23927
427	17873	23886
428	17918	23849
429	17954	23800
430	17995	23756
431	18035	23713
432	18080	23676
433	18126	23639
434	18177	23609
435	18220	23569
436	18265	23532
437	18312	23496
438	18349	23448
439	18384	23398
440	18423	23353
441	18467	23314
442	18504	23266
443	18546	23224
444	18589	23185
445	18632	23143
446	18669	23096
447	18713	23058
448	18752	23012
449	18794	22970
450	18831	22923
451	18868	22876
452	18908	22831
453	18949	22789
454	18989	22746
455	19034	22708
456	19075	22664
457	19121	22628
458	19164	22588
459	19204	22544
460	19246	22503
461	19292	22466
462	19333	22423
463	19391	22400
464	19463	22393
465	19514	22362
466	19547	22310
467	19586	22265
468	19630	22225
469	19669	22180
470	19712	22139
471	19753	22096
472	19793	22052
473	19828	22003
474	19867	21958
475	19908	21915
476	19947	21871
477	19985	21824
478	20028	21784
479	20067	21739
480	20107	21696
481	20147	21652
482	20190	21612
483	20229	21567
484	20273	21527
485	20316	21487
486	20357	21444
487	20397	21400
488	20441	21360
489	20480	21316
490	20529	21281
491	20577	21246
492	20627	21212
493	20669	21171
494	20716	21134
495	20753	21088
496	20793	21044
497	20833	21000
498	20876	20960
499	20917	20917
500	20961	20877
501	21002	20834
502	21045	20794
503	21093	20758
504	21139	20720
505	21182	20680
506	21223	20636
507	21271	20601
508	21313	20559
509	21350	20513
510	21392	20471
511	21433	20428
512	21474	20386
513	21517	20345
514	21558	20302
515	21602	20263
516	21644	20221
517	21685	20178
518	21730	20139
519	21777	20101
520	21820	20061
521	21863	20020
522	21903	19976
523	21944	19934
524	21986	19892
525	22023	19846
526	22065	19804
527	22105	19760
528	22146	19718
529	22189	19677
530	22226	19631
531	22268	19589
532	22306	19544
533	22347	19501
534	22388	19458
535	22425	19413
536	22467	19371
537	22499	19321
538	22538	19276
539	22582	19237
540	22617	19189
541	22653	19142
542	22691	19097
543	22731	19054
544	22771	19011
545	22812	18968
546	22855	18927
547	22895	18884
548	22948	18851
549	23000	18818
550	23055	18787
551	23103	18750
552	23148	18711
553	23192	18670
554	23232	18627
555	23275	18587
556	23318	18546
557	23358	18502
558	23395	18456
559	23436	18414
560	23479	18373
561	23523	18332
562	23565	18291
563	23604	18247
564	23643	18203
565	23682	18159
566	23721	18115
567	23764	18074
568	23806	18032
569	23847	17990
570	23883	17943
571	23921	17899
572	23960	17855
573	23998	17810
574	24037	17766
575	24076	17723
576	24119	17682
577	24163	17641
578	24199	17596
579	24241	17553
580	24288	17515
581	24329	17473
582	24372	17432
583	24419	17395
584	24459	17351
585	24498	17307
586	24534	17261
587	24584	17225
588	24623	17182
589	24661	17137
590	24700	17093
591	24740	17050
592	24784	17010
593	24828	16970
594	24867	16926
595	24907	16883
596	24952	16844
597	24997	16804
598	25038	16762
599	25082	16721
600	25131	16684
601	25178	16646
602	25223	16606
603	25266	16565
604	25320	16531
605	25370	16494
606	25412	16453
607	25456	16412
608	25509	16377
609	25555	16338
610	25604	16301
611	25641	16256
612	25688	16217
613	25737	16179
614	25783	16140
615	25827	16100
616	25873	16061
617	25918	16020
618	25960	15978
619	26008	15940
620	26047	15897
621	26097	15859
622	26144	15821
623	26193	15783
624	26246	15747
625	26295	15710
626	26345	15672
627	26390	15632
628	26438	15593
629	26485	15555
630	26529	15513
631	26572	15472
632	26609	15427
633	26654	15387
634	26697	15345
635	26747	15308
636	26798	15271
637	26851	15235
638	26897	15195
639	26940	15153
640	26984	15112
641	27032	15074
642	27089	15040
643	27136	15000
644	27183	14961
645	27225	14919
646	27272	14879
647	27316	14838
648	27361	14797
649	27412	14760
650	27459	14720
651	27503	14679
652	27545	14637
653	27601	14602
654	27648	14563
655	27688	14519
656	27738	14481
657	27789	14443
658	27845	14408
659	27903	14374
660	27952	14335
661	28005	14298
662	28056	14260
663	28105	14222
664	28157	14184
665	28203	14144
666	28250	14104
667	28293	14062
668	28337	14020
669	28383	13979
670	28425	13937
671	28468	13895
672	28514	13854
673	28556	13812
674	28599	13770
675	28641	13727
676	28683	13685
677	28725	13642
678	28772	13602
679	28819	13562
680	28859	13518
681	28899	13475
682	28959	13441
683	29012	13403
684	29060	13363
685	29102	13320
686	29142	13277
687	29181	13233
688	29224	13191
689	29262	13147
690	29297	13101
691	29338	13058
692	29380	13015
693	29419	12971
694	29458	12927
695	29494	12882
696	29533	12839
697	29573	12795
698	29613	12752
699	29653	12708
700	29698	12667
701	29744	12626
702	29786	12583
703	29832	12543
704	29876	12501
705	29919	12459
706	29962	12417
707	30001	12373
708	30042	12330
709	30086	12288
710	30123	12244
711	30178	12207
712	30227	12167
713	30284	12130
714	30324	12087
715	30373	12047
716	30417	12005
717	30458	11962
718	30499	11919
719	30537	11875
720	30583	11834
721	30622	11791
722	30661	11747
723	30704	11705
724	30742	11660
725	30781	11617
726	30822	11574
727	30864	11531
728	30906	11489
729	30948	11446
730	30992	11404
731	31037	11363
732	31078	11320
733	31120	11277
734	31159	11234
735	31202	11192
736	31253	11152
737	31295	11110
738	31336	11067
739	31381	11025
740	31427	10984
741	31471	10943
742	31515	10901
743	31559	10859
744	31602	10816
745	31645	10774
746	31687	10732
747	31727	10688
748	31766	10645
749	31803	10601
750	31846	10558
751	31889	10516
752	31931	10474
753	31973	10431
754	32014	10388
755	32057	10346
756	32099	10304
757	32141	10261
758	32188	10220
759	32227	10177
760	32271	10135
761	32319	10094
762	32365	10053
763	32406	10010
764	32454	9969
765	32496	9927
766	32543	9886
767	32588	9844
768	32636	9803
769	32686	9763
770	32734	9722
771	32775	9679
772	32818	9637
773	32858	9594
774	32895	9550
775	32935	9507
776	32985	9466
777	33022	9422
778	33063	9380
779	33102	9336
780	33138	9292
781	33172	9247
782	33209	9203
783	33247	9160
784	33286	9116
785	33326	9073
786	33366	9030
787	33409	8988
788	33449	8945
789	33490	8902
790	33533	8860
791	33572	8817
792	33607	8772
793	33644	8728
794	33682	8685
795	33725	8643
796	33761	8599
797	33801	8556
798	33848	8515
799	33899	8474
800	33935	8431
801	33986	8390
802	34027	8347
803	34079	8307
804	34128	8267
805	34168	8224
806	34208	8181
807	34256	8140
808	34295	8096
809	34341	8055
810	34378	8011
811	34421	7969
812	34459	7926
813	34506	7884
814	34546	7841
815	34584	7798
816	34624	7755
817	34659	7711
818	34697	7668
819	34734	7624
