iter	RMSE
0	0.8379920728
1	0.7959185589
2	0.7595285288
3	0.7278456154
4	0.7012061103
5	0.6769190752
6	0.6562021832
7	0.6390396267
8	0.6247466328
9	0.6114097472
10	0.6006994334
11	0.5904834431
12	0.5813010109
13	0.5730895064
14	0.5659079712
15	0.5601191037
16	0.5553882596
17	0.5508095895
18	0.5462003599
19	0.5425497606
20	0.5390720031
21	0.5359379515
22	0.5332348336
23	0.5308522038
24	0.528750256
25	0.5265031422
26	0.5246808056
27	0.5225253677
28	0.5206389718
29	0.5188957519
30	0.5176930433
31	0.5157180471
32	0.5143231176
33	0.5126617312
34	0.5114699035
35	0.5097561201
36	0.5088858719
37	0.5081899246
38	0.5068952619
39	0.505727946
40	0.5047891311
41	0.5040010826
42	0.5033655459
43	0.5023562893
44	0.5015644871
45	0.5005873275
46	0.4998566597
47	0.4988592006
48	0.4979087821
49	0.4970125285
50	0.4961041849
51	0.4955171812
52	0.4945832535
53	0.4941675388
54	0.4936359811
55	0.492938651
56	0.4922244091
57	0.4917915087
58	0.4911807572
59	0.4905671501
60	0.4899445043
61	0.4895325727
62	0.4884741259
63	0.4879628339
64	0.487345199
65	0.4868474486
66	0.4864909983
67	0.4858767576
68	0.4855429742
69	0.4848568053
70	0.4843668791
71	0.484052675
72	0.4836842459
73	0.4833668518
74	0.482591382
75	0.4824162201
76	0.4823149878
77	0.4821643932
78	0.4817651914
79	0.4815574104
80	0.4809986637
81	0.4807345426
82	0.4803810578
83	0.4799050037
84	0.4792422479
85	0.4785236653
86	0.4778566652
87	0.477490204
88	0.4770571375
89	0.4769136673
90	0.4765254665
91	0.4758960619
92	0.4756078194
93	0.4752517503
94	0.474870173
95	0.474413097
96	0.4738739565
97	0.4734102307
98	0.4729088068
99	0.4726317305
100	0.4725471506
101	0.4724463901
102	0.4721975078
103	0.4718079204
104	0.4713133788
105	0.4711481429
106	0.47104067
107	0.4708450939
108	0.4707532566
109	0.4702659201
110	0.4698437428
111	0.4696082753
112	0.4695007093
113	0.4694169453
114	0.4692017343
115	0.4689044459
116	0.4686257141
117	0.4685133168
118	0.4678858137
119	0.4675383658
120	0.4672691629
121	0.4671777825
122	0.4666294813
123	0.4663131078
124	0.4661008575
125	0.4660214697
126	0.46562113
127	0.4655444303
128	0.4651662882
129	0.4647091446
130	0.4646349603
131	0.4641511245
132	0.4635864617
133	0.4632173838
134	0.4630291521
135	0.4627586307
136	0.4626172795
137	0.4624890096
138	0.462407091
139	0.4621570376
140	0.4618428817
141	0.4617725486
142	0.461369207
143	0.4609054598
144	0.4606814098
145	0.4604049458
146	0.4601812492
147	0.4600141975
148	0.4595131441
149	0.4594455003
150	0.4590161961
151	0.4587225132
152	0.4583631859
153	0.4582978795
154	0.4580552853
155	0.4577454049
156	0.4575623156
157	0.4573357819
158	0.4572067341
159	0.4571435299
160	0.4567676807
161	0.4566271951
162	0.4563854961
163	0.4561894929
164	0.4558770861
165	0.4555920848
166	0.4554502456
167	0.4553180916
168	0.4552250428
169	0.4551180176
170	0.4550564433
171	0.4544185195
172	0.4538753933
173	0.4538074042
174	0.4537476253
175	0.4536028659
176	0.453337011
177	0.4532092213
178	0.4529111636
179	0.4528132818
180	0.4525724414
181	0.4524776534
182	0.4521643436
183	0.4520370381
184	0.4519550992
185	0.4518558688
186	0.4514697522
187	0.4513606914
188	0.4511242463
189	0.4508999321
190	0.4508426619
191	0.4507868509
192	0.4504340034
193	0.4503538678
194	0.4502830316
195	0.4501518434
196	0.4499080518
197	0.4498486613
198	0.4493461349
199	0.4492898485
200	0.4491608968
201	0.4489379266
202	0.44882004
203	0.4487136636
204	0.448661776
205	0.448591894
206	0.4480807973
207	0.4480301851
208	0.4477346816
209	0.4474853954
210	0.4474360638
211	0.4473590951
212	0.4472896852
213	0.447008161
214	0.4469497603
215	0.4465345629
216	0.4464343704
217	0.4462926262
218	0.4461076933
219	0.4460593895
220	0.4458174332
221	0.4457702495
222	0.4456926869
223	0.4455618689
224	0.445503511
225	0.4454573812
226	0.4452872294
227	0.4450162381
228	0.4449539708
229	0.4448821359
230	0.4445011256
231	0.4444558814
232	0.4441327578
233	0.4439578997
234	0.4439118193
235	0.4438669158
236	0.4437504914
237	0.4436986961
238	0.4436553163
239	0.44361298
240	0.4435719775
241	0.4435320814
242	0.4434931075
243	0.4426937952
244	0.4425411133
245	0.442450395
246	0.4422003465
247	0.4420943342
248	0.4420148515
249	0.4417083735
250	0.4413877613
251	0.4412540988
252	0.441052475
253	0.4409121986
254	0.4408556343
255	0.4407823711
256	0.4407256414
257	0.440262216
258	0.439981676
259	0.4399436961
260	0.4392231173
261	0.4390669247
262	0.4390296948
263	0.4389927461
264	0.4388005052
265	0.438734319
266	0.4386960834
267	0.4385992017
268	0.4384082171
269	0.43833031
